gene,CID,np_score
Alox12,13600405,0.0100154475118287
Alox12,10736220,0.0100154475118287
Alox12,10594823,0.0100154475118287
Alox12,10714564,0.0100154475118287
Alox12,13600407,0.0100154475118287
Alox12,44336570,0.0100154475118287
Alox12,10590337,0.0100154475118287
Alox12,44336657,0.0100154475118287
Alox12,10667872,0.0100154475118287
Alox12,44336699,0.0100154475118287
Alox12,20067261,0.0100154475118287
Alox12,10593999,0.0100154475118287
Alox12,20067262,0.0100154475118287
Alox12,10808319,0.0100154475118287
Alox12,13600404,0.0100154475118287
Alox12,10736541,0.0100154475118287
Alox12,10758992,0.0100154475118287
Alox12,10618761,0.0100154475118287
Alox12,20067256,0.0100154475118287
Alox12,10830269,0.0100154475118287
Alox12,20067259,0.0100154475118287
Alox12,9863229,0.0100154475118287
Alox12,11725370,0.0100154475118287
Alox12,10784984,0.0100154475118287
Alox12,10784985,0.0100154475118287
Alox12,20067255,0.0100154475118287
Alox12,10523316,0.0100154475118287
Alox12,44460175,0.0100154475118287
Alox12,70701426,0.0100154475118287
Ddc,444261,0.0100000009172627
Ddc,53665297,0.0100000009172627
Xdh,53326125,0.0101819963554257
Xdh,53318225,0.0101819963554257
Xdh,53322557,0.0101819963554257
Xdh,53325168,0.0101819963554257
Xdh,53317311,0.0101819963554257
Xdh,2094,0.0101819963554257
Xdh,50993779,0.0101819963554257
Xdh,50993780,0.0101819963554257
Xdh,42952241,0.0101819963554257
Xdh,50993781,0.0101819963554257
Xdh,53320876,0.0101819963554257
Xdh,50993782,0.0101819963554257
Xdh,53322211,0.0101819963554257
Xdh,8426020,0.0101819963554257
Xdh,53323545,0.0101819963554257
Xdh,53319582,0.0101819963554257
Xdh,2094,0.0101819963554257
Xdh,44598338,0.0101819963554257
Xdh,5467200,0.0101819963554257
Xdh,91079214,0.0101819963554257
Xdh,2094,0.0101819963554257
Xdh,71508531,0.0101819963554257
Xdh,71508530,0.0101819963554257
Xdh,71508529,0.0101819963554257
Xdh,71508489,0.0101819963554257
Xdh,71508488,0.0101819963554257
Xdh,71508487,0.0101819963554257
Xdh,71508486,0.0101819963554257
Xdh,71508485,0.0101819963554257
Xdh,71508437,0.0101819963554257
Xdh,71508436,0.0101819963554257
Xdh,71508435,0.0101819963554257
Xdh,71508434,0.0101819963554257
Xdh,76318243,0.0101819963554257
Xdh,134018,0.0101819963554257
Aldh1a7,44559457,0.0100200852294983
Aldh1a7,4688,0.0100200852294983
Aldh1a7,5317653,0.0100200852294983
Aldh1a7,10207,0.0100200852294983
Aldh1a7,44559457,0.0100200852294983
Mme,20275393,0.0100000046110921
Mme,10018645,0.0100000046110921
Mme,10448460,0.0100000046110921
Mme,57340116,0.0100000046110921
Mme,9797197,0.0100000046110921
Mme,22418296,0.0100000046110921
Mme,22418291,0.0100000046110921
Mme,22418297,0.0100000046110921
Mme,22418301,0.0100000046110921
Mme,9840152,0.0100000046110921
Mme,57340117,0.0100000046110921
Mme,57340118,0.0100000046110921
Mme,57340119,0.0100000046110921
Mme,3132,0.0100000046110921
Mme,44266521,0.0100000046110921
Mme,44374778,0.0100000046110921
Mme,44374846,0.0100000046110921
Mme,44374967,0.0100000046110921
Mme,44283534,0.0100000046110921
Mme,44374778,0.0100000046110921
Mme,44283534,0.0100000046110921
Mme,44374887,0.0100000046110921
Mme,91928788,0.0100000046110921
Mme,91928789,0.0100000046110921
Mme,91928790,0.0100000046110921
Mme,91928791,0.0100000046110921
Mme,91928792,0.0100000046110921
Mme,91928793,0.0100000046110921
Mme,91928794,0.0100000046110921
Mme,91928796,0.0100000046110921
Mme,91928795,0.0100000046110921
Mme,3132,0.0100000046110921
Mme,91928797,0.0100000046110921
Mme,91928798,0.0100000046110921
Mme,91928799,0.0100000046110921
Mme,91928800,0.0100000046110921
Mme,91928801,0.0100000046110921
Mme,91928802,0.0100000046110921
Mme,91928805,0.0100000046110921
Mme,14151847,0.0100000046110921
Mme,91928804,0.0100000046110921
Mme,91928806,0.0100000046110921
Mme,91928808,0.0100000046110921
Mme,91928807,0.0100000046110921
Mme,91928811,0.0100000046110921
Mme,14719636,0.0100000046110921
Mme,15120754,0.0100000046110921
Mme,91928809,0.0100000046110921
Mme,91928810,0.0100000046110921
Mme,91928815,0.0100000046110921
Mme,91928814,0.0100000046110921
Mme,91928803,0.0100000046110921
Mme,91928813,0.0100000046110921
Mme,91928817,0.0100000046110921
Mme,91928816,0.0100000046110921
Mme,91928812,0.0100000046110921
Mme,91928818,0.0100000046110921
Mme,15120756,0.0100000046110921
Mme,91928819,0.0100000046110921
Mme,12150908,0.0100000046110921
Mme,5488196,0.0100000046110921
Mme,15580523,0.0100000046110921
Mme,7010595,0.0100000046110921
Mme,9839064,0.0100000046110921
Mme,14557662,0.0100000046110921
Mme,14557664,0.0100000046110921
Mme,14557663,0.0100000046110921
Mme,44377748,0.0100000046110921
Mme,44377503,0.0100000046110921
Mme,7059511,0.0100000046110921
Mme,44377718,0.0100000046110921
Mme,44377696,0.0100000046110921
Mme,657144,0.0100000046110921
Mme,44377502,0.0100000046110921
Mme,44377501,0.0100000046110921
Mme,44295334,0.0100000046110921
Mme,4369380,0.0100000046110921
Mme,189858,0.0100000046110921
Mme,10024283,0.0100000046110921
Mme,44267282,0.0100000046110921
Mme,44292164,0.0100000046110921
Mme,3132,0.0100000046110921
Mme,9977260,0.0100000046110921
Mme,189858,0.0100000046110921
Mme,9977260,0.0100000046110921
Mme,189858,0.0100000046110921
Mme,10367044,0.0100000046110921
Mme,3132,0.0100000046110921
Mme,14557663,0.0100000046110921
Mme,10000973,0.0100000046110921
Mme,44292164,0.0100000046110921
