gene,CID,np_score
Dbh,10398787,0.0100087665040066
Dbh,13815965,0.0100087665040066
Dbh,3442,0.0100087665040066
Dbh,10607740,0.0100087665040066
Dbh,667838,0.0100087665040066
Dbh,13815955,0.0100087665040066
Dbh,3035523,0.0100087665040066
Dbh,44306773,0.0100087665040066
Dbh,667838,0.0100087665040066
Dbh,15124068,0.0100087665040066
Dbh,15124066,0.0100087665040066
Dbh,15124067,0.0100087665040066
Dbh,15124061,0.0100087665040066
Dbh,23274107,0.0100087665040066
Dbh,44307012,0.0100087665040066
Dbh,15124070,0.0100087665040066
Dbh,25880073,0.0100087665040066
Dbh,3035523,0.0100087665040066
Dbh,14450863,0.0100087665040066
Dbh,44307075,0.0100087665040066
Dbh,15124057,0.0100087665040066
Dbh,15124064,0.0100087665040066
Dbh,15124062,0.0100087665040066
Dbh,15124054,0.0100087665040066
Dbh,44306481,0.0100087665040066
Dbh,20070445,0.0100087665040066
Dbh,14576744,0.0100087665040066
Dbh,15124059,0.0100087665040066
Dbh,44306901,0.0100087665040066
Dbh,20070458,0.0100087665040066
Dbh,15124065,0.0100087665040066
Dbh,44306284,0.0100087665040066
Dbh,13477996,0.0100087665040066
Dbh,44306283,0.0100087665040066
Dbh,25880076,0.0100087665040066
Dbh,44306637,0.0100087665040066
Dbh,44306916,0.0100087665040066
Dbh,10263758,0.0100087665040066
Dbh,15124071,0.0100087665040066
Dbh,15124058,0.0100087665040066
Dbh,44307011,0.0100087665040066
Dbh,14576743,0.0100087665040066
Dbh,44306902,0.0100087665040066
Dbh,10398787,0.0100087665040066
Dbh,15124056,0.0100087665040066
Dbh,10443390,0.0100087665040066
Dbh,13477989,0.0100087665040066
Dbh,10059965,0.0100087665040066
Dbh,44306413,0.0100087665040066
Dbh,15124060,0.0100087665040066
Dbh,44306876,0.0100087665040066
Dbh,15124063,0.0100087665040066
Dbh,20070452,0.0100087665040066
Dbh,43555101,0.0100087665040066
Pgf,53325417,0.0100855715205882
Pgf,53317547,0.0100855715205882
Pgf,51350399,0.0100855715205882
Pgf,53322779,0.0100855715205882
Pgf,53325418,0.0100855715205882
Pgf,53317548,0.0100855715205882
Pgf,53326674,0.0100855715205882
Pgf,53318831,0.0100855715205882
Pgf,53324274,0.0100855715205882
Pgf,53326675,0.0100855715205882
Pgf,91932332,0.0100855715205882
Pgf,91932328,0.0100855715205882
Pgf,91932333,0.0100855715205882
Kit,24816435,0.010397757059735
Kit,70692373,0.010397757059735
Kit,11621097,0.010397757059735
Kit,59804319,0.010397757059735
Kit,11705812,0.010397757059735
