protein1,protein2,neighborhood,fusion,cooccurence,coexpression,experimental,database,textmining,combined_score,symbol1,symbol2
ENSMUSP00000000001,ENSMUSP00000090237,0.0,0.0,0.0,47.0,85.0,900.0,235.0,924.0,Gnai3,Src
ENSMUSP00000000001,ENSMUSP00000093978,0.0,0.0,0.0,54.0,423.0,650.0,256.0,838.0,Gnai3,Gng3
ENSMUSP00000000001,ENSMUSP00000050897,0.0,0.0,0.0,42.0,548.0,900.0,267.0,964.0,Gnai3,S1pr1
ENSMUSP00000000001,ENSMUSP00000043302,0.0,0.0,0.0,68.0,491.0,900.0,141.0,953.0,Gnai3,Ptger3
ENSMUSP00000000001,ENSMUSP00000023390,0.0,0.0,0.0,0.0,491.0,650.0,184.0,841.0,Gnai3,Drd3
ENSMUSP00000000001,ENSMUSP00000038884,0.0,0.0,0.0,53.0,491.0,650.0,110.0,829.0,Gnai3,Htr5a
ENSMUSP00000000001,ENSMUSP00000051132,0.0,0.0,0.0,0.0,111.0,900.0,66.0,909.0,Gnai3,Oxtr
ENSMUSP00000000001,ENSMUSP00000031673,0.0,0.0,0.0,91.0,579.0,650.0,231.0,883.0,Gnai3,Gngt1
ENSMUSP00000000001,ENSMUSP00000021734,0.0,0.0,0.0,0.0,374.0,650.0,231.0,816.0,Gnai3,Gng4
ENSMUSP00000000001,ENSMUSP00000065983,0.0,0.0,0.0,112.0,283.0,900.0,173.0,940.0,Gnai3,Mapk1
ENSMUSP00000000001,ENSMUSP00000021283,0.0,0.0,0.0,0.0,0.0,900.0,211.0,917.0,Gnai3,Pik3r5
ENSMUSP00000000001,ENSMUSP00000062256,0.0,0.0,0.0,0.0,214.0,900.0,398.0,948.0,Gnai3,Adrb2
ENSMUSP00000000001,ENSMUSP00000005164,0.0,0.0,0.0,53.0,67.0,650.0,441.0,804.0,Gnai3,Prkacb
ENSMUSP00000000001,ENSMUSP00000062741,0.0,0.0,0.0,0.0,111.0,900.0,226.0,925.0,Gnai3,Rxfp3
ENSMUSP00000000001,ENSMUSP00000048978,0.0,0.0,0.0,0.0,979.0,0.0,516.0,989.0,Gnai3,Ccdc88a
ENSMUSP00000000001,ENSMUSP00000045715,0.0,0.0,0.0,56.0,491.0,500.0,423.0,842.0,Gnai3,Rgs8
ENSMUSP00000000001,ENSMUSP00000034296,0.0,0.0,0.0,0.0,0.0,900.0,47.0,900.0,Gnai3,Pik3r2
ENSMUSP00000000001,ENSMUSP00000061153,0.0,0.0,0.0,0.0,491.0,650.0,120.0,829.0,Gnai3,Ghsr
ENSMUSP00000000001,ENSMUSP00000031726,0.0,0.0,0.0,154.0,606.0,650.0,509.0,934.0,Gnai3,Gnb2
ENSMUSP00000000001,ENSMUSP00000148550,0.0,0.0,54.0,0.0,335.0,540.0,419.0,809.0,Gnai3,Gnao1
ENSMUSP00000000001,ENSMUSP00000030464,0.0,0.0,0.0,0.0,0.0,900.0,170.0,913.0,Gnai3,Pik3r3
ENSMUSP00000000001,ENSMUSP00000062864,0.0,0.0,0.0,0.0,0.0,900.0,227.0,919.0,Gnai3,Pik3cg
ENSMUSP00000000001,ENSMUSP00000140624,0.0,0.0,0.0,90.0,491.0,500.0,457.0,857.0,Gnai3,Rgs1
ENSMUSP00000000001,ENSMUSP00000029141,0.0,0.0,0.0,0.0,0.0,900.0,75.0,903.0,Gnai3,Mmp24
ENSMUSP00000000001,ENSMUSP00000006005,0.0,0.0,0.0,0.0,206.0,900.0,64.0,919.0,Gnai3,Pth1r
ENSMUSP00000000001,ENSMUSP00000138101,0.0,0.0,0.0,0.0,302.0,900.0,200.0,939.0,Gnai3,Sstr2
ENSMUSP00000000001,ENSMUSP00000051959,0.0,0.0,0.0,0.0,137.0,900.0,211.0,926.0,Gnai3,Rasd1
ENSMUSP00000000001,ENSMUSP00000034243,0.0,0.0,0.0,0.0,0.0,900.0,75.0,903.0,Gnai3,Mmp15
ENSMUSP00000000001,ENSMUSP00000030693,0.0,0.0,0.0,55.0,85.0,900.0,53.0,907.0,Gnai3,Fgr
ENSMUSP00000000001,ENSMUSP00000107069,0.0,0.0,0.0,0.0,302.0,900.0,106.0,932.0,Gnai3,Ccr5
ENSMUSP00000000001,ENSMUSP00000019608,0.0,0.0,0.0,0.0,111.0,900.0,0.0,907.0,Gnai3,Ptger1
ENSMUSP00000000001,ENSMUSP00000032399,0.0,0.0,0.0,90.0,137.0,900.0,297.0,937.0,Gnai3,Kras
ENSMUSP00000000001,ENSMUSP00000033133,0.0,0.0,0.0,56.0,492.0,0.0,726.0,857.0,Gnai3,Rgs10
ENSMUSP00000000001,ENSMUSP00000024206,0.0,0.0,0.0,151.0,418.0,650.0,268.0,856.0,Gnai3,Gnb3
ENSMUSP00000000001,ENSMUSP00000034533,0.0,0.0,0.0,48.0,0.0,900.0,128.0,909.0,Gnai3,Kcnj5
ENSMUSP00000000001,ENSMUSP00000053086,0.0,0.0,0.0,0.0,338.0,650.0,488.0,871.0,Gnai3,Mtnr1b
ENSMUSP00000000001,ENSMUSP00000027748,0.0,0.0,0.0,56.0,548.0,500.0,811.0,954.0,Gnai3,Rgs16
ENSMUSP00000000001,ENSMUSP00000023007,0.0,0.0,0.0,53.0,136.0,650.0,615.0,875.0,Gnai3,Adcy8
ENSMUSP00000000001,ENSMUSP00000130123,0.0,0.0,0.0,162.0,705.0,650.0,439.0,945.0,Gnai3,Gnb1
ENSMUSP00000000001,ENSMUSP00000051619,0.0,0.0,0.0,94.0,377.0,900.0,355.0,958.0,Gnai3,Mapk3
ENSMUSP00000000001,ENSMUSP00000026558,0.0,0.0,0.0,93.0,548.0,0.0,650.0,843.0,Gnai3,Ric8a
ENSMUSP00000000001,ENSMUSP00000150463,0.0,0.0,0.0,0.0,491.0,650.0,0.0,814.0,Gnai3,Cx3cr1
ENSMUSP00000000001,ENSMUSP00000000574,0.0,0.0,0.0,0.0,289.0,900.0,114.0,931.0,Gnai3,Adora3
ENSMUSP00000000001,ENSMUSP00000030561,0.0,0.0,55.0,0.0,105.0,800.0,50.0,817.0,Gnai3,Gnat3
ENSMUSP00000000001,ENSMUSP00000038838,0.0,0.0,0.0,70.0,85.0,900.0,116.0,914.0,Gnai3,Lyn
